Sequence	Name	Start	End	strand	Sample	TotalReadsORF	Reads	RPM	Length	RPKM
NC_000911.1	sll0558	2172	2873	-	A1	12736902.9999993	863.999999999931	67.8343864281592	702	96.630180097093
NC_000911.1	sll0558	2172	2873	-	E1	17068446.9999998	734.999999999955	43.0619141858637	702	61.3417580995209
NC_000911.1	sll0558	2172	2873	-	B1	34183107.9999986	3186.99999999968	93.2331840627192	702	132.810803508147
NC_000911.1	sll1214	3192	4268	-	A1	12736902.9999993	22357.0000000034	1755.29326085035	1077	1629.79875659271
NC_000911.1	sll1214	3192	4268	-	E1	17068446.9999998	26995.9999999978	1581.63188484565	1077	1468.55328212224
NC_000911.1	sll1214	3192	4268	-	B1	34183107.9999986	57995.0000000011	1696.59821453343	1077	1575.30010634488
NC_000911.1	sll1213	4451	5389	-	A1	12736902.9999993	2538.99999999976	199.342022154043	939	212.291823380238
NC_000911.1	sll1213	4451	5389	-	E1	17068446.9999998	2402.99999999975	140.786094950512	939	149.931943504272
NC_000911.1	sll1213	4451	5389	-	B1	34183107.9999986	14330.9999999985	419.242159021908	939	446.477272653789
NC_000911.1	sll1212	5534	6622	-	A1	12736902.9999993	2838.99999999947	222.895628552689	1089	204.679181407428
NC_000911.1	sll1212	5534	6622	-	E1	17068446.9999998	2854.99999999994	167.267707483872	1089	153.597527533399
NC_000911.1	sll1212	5534	6622	-	B1	34183107.9999986	30447.9999999993	890.732346514557	1089	817.936039039998
NC_000911.1	sll1209	10622	12631	-	A1	12736902.9999993	594.999999999791	46.7146526906757	2010	23.2411207416297
NC_000911.1	sll1209	10622	12631	-	E1	17068446.9999998	1151.00000000042	67.4343717387077	2010	33.549438675974
NC_000911.1	sll1209	10622	12631	-	B1	34183107.9999986	3513.99999999914	102.79931245571	2010	51.1439365451295
NC_000911.1	sll1206	17853	20408	-	A1	12736902.9999993	508.999999999958	39.9626188564039	2556	15.6348274086087
NC_000911.1	sll1206	17853	20408	-	E1	17068446.9999998	264.000000000191	15.4671365239142	2556	6.05130536929351
NC_000911.1	sll1206	17853	20408	-	B1	34183107.9999986	1118.99999999973	32.7354668861524	2556	12.8073031635964
NC_000911.1	sll1205	20615	21595	-	A1	12736902.9999993	109.999999999956	8.63632234617491	981	8.8035905669469
NC_000911.1	sll1205	20615	21595	-	E1	17068446.9999998	116.000000000011	6.79616604838228	981	6.92779413698499
NC_000911.1	sll1205	20615	21595	-	B1	34183107.9999986	1207.99999999949	35.3390920450986	981	36.0235392916397
